ver,sl__si__na,sl__si__id,sl__si__la,sl__si__lg,sl__si__av,sl__si__fr,sl__si__to,sl__si__cb
4464,124 Auberge de jeunesse,124,48.568644,7.795621,6,10,16,1
7CA3,111 Campus d'Illkirch,111,48.529616,7.734226,5,25,30,
1913,101 Centre,101,48.578462,7.749776,22,10,32,1
06AD,102 Centre 2,102,48.578462,7.749776,1,19,20,
5EEE,126 Espace Europ?en de l'Entreprise,126,48.612597,7.71163,8,8,16,1
FA00,103 Gare de Strasbourg,103,48.585082,7.735024,10,21,31,1
36E6,115 Hoenheim Gare,115,48.628353,7.760103,12,4,16,
8CAD,112 Hohwart,112,48.54919,7.740754,7,3,10,
4EB1,123 Koenigshoffen,123,48.5791,7.713481,7,19,26,1
2BC3,127 Ostwald H?tel de Ville,127,48.551032,7.7112,5,11,16,
BEA9,114 Parking Austerlitz,114,48.578005,7.751863,9,21,30,
4F16,113 Parking Broglie,113,48.585415,7.749395,14,16,30,1
7421,109 Place Arnold,109,48.584504,7.768772,10,18,28,
06E5,108 Gare Nord,108,48.585678,7.733542,5,27,32,
ACE1,106 Gare Sud,106,48.584209,7.734519,21,11,32,1
5447,116 Place Islande,116,48.580314,7.776203,9,7,16,
D48F,125 Place du March? Neudorf,125,48.565864,7.759242,13,19,32,1
7301,110 Robertsau Boecklin,110,48.598096,7.777902,7,25,32,
24D8,105 Rotonde,105,48.591639,7.725089,8,24,32,
EB62,122 Schiltigheim Mairie,122,48.606759,7.749183,7,9,16,1
C251,107 Universit?,107,48.582023,7.766771,8,24,32,1
