"type","name","features__type","features__properties__number","features__properties__name","features__properties__address","features__properties__address2","features__properties__commune","features__properties__nmarrond","features__properties__bonus","features__properties__pole","features__properties__lat","features__properties__lng","features__properties__bike_stands","features__properties__status","features__properties__available_bike_stands","features__properties__available_bikes","features__properties__availabilitycode","features__properties__availability","features__properties__banking","features__properties__gid","features__properties__last_update","features__properties__last_update_fme","features__properties__code_insee","features__properties__langue","features__properties__etat","features__properties__nature","features__properties__titre","features__properties__description","features__properties__startdate","features__properties__enddate","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"FeatureCollection","jcd_jcdecaux.jcdvelov","Feature","10001","IUT - Feyssine","Rue de la Technologie","","VILLEURBANNE","1","","IUT, tramway","45.7856324623545000","4.8824104015349030","30","OPEN","24","6","1","Vert","false","970","2020-12-12 18:24:13","2020-12-12 18:27:03","69266","","","","","","","","Point","4.882410401534903","45.785632462354499"
"","","Feature","3043","Place Rouget de L'Isle","Place Rouget de l'Isle","Face 35, Avenue Lacassagne","Lyon 3 ème","43","","maillage","45.7539631929670600","4.8673532946259150","16","OPEN","6","10","1","Vert","true","819","2020-12-12 18:24:14","2020-12-12 18:27:03","69383","","","","","","","","Point","4.867353294625915","45.753963192967063"
"","","Feature","6001","Gare des Brotteaux","Place Jules Ferry","","Lyon 6 ème","1","","Places Jules Ferry, Métro B, Parking, restaurants","45.7669095802662650","4.8589921673125620","16","OPEN","12","4","1","Vert","true","999","2020-12-12 18:21:21","2020-12-12 18:27:03","69386","","","","","","","","Point","4.858992167312562","45.766909580266265"
"","","Feature","20001","Oullins - Gare","Avenue du Rhône","Esplanade de la gare routière","OULLINS","","","Oullins","45.7170299434914200","4.8141359805783805","40","OPEN","23","17","1","Vert","true","1238","2020-12-12 18:21:30","2020-12-12 18:27:03","69149","","","","","","","","Point","4.814135980578381","45.717029943491418"
"","","Feature","10114","Bel Air / Les Brosses","Avenue de Bel Air","","VILLEURBANNE","114","","Tramway, piste cyclable","45.7579070732360900","4.9108067086686680","20","OPEN","16","3","1","Vert","false","932","2020-12-12 18:22:53","2020-12-12 18:27:03","69266","","","","","","","","Point","4.910806708668668","45.75790707323609"
"","","Feature","10038","Condorcet","Boulevard du 11 Novembre 1918","Croisement Tram","VILLEURBANNE","38","","tram, itinéraire cyclable","45.7790457737185800","4.8667783280240920","23","OPEN","23","0","3","Orange","true","825","2020-12-12 18:23:38","2020-12-12 18:27:03","69266","","","","","","","","Point","4.866778328024092","45.779045773718579"
"","","Feature","10060","Saint Exupéry","33, Avenue Antoine de Saint Exupéry","Face Rue Raymond Terracher","VILLEURBANNE","60","","Commerces, marché, centre de quartier","45.7588589710478640","4.8787495764625985","15","OPEN","10","5","1","Vert","false","817","2020-12-12 18:18:10","2020-12-12 18:27:03","69266","","","","","","","","Point","4.878749576462599","45.758858971047864"
"","","Feature","4005","Place Bertone","Rue du Chariot d'Or","Place Bertone","Lyon 4 ème","5","","coeur quartier","45.7776173765049850","4.8345009421112760","12","OPEN","12","0","3","Orange","false","853","2020-12-12 18:20:54","2020-12-12 18:27:03","69384","","","","","","","","Point","4.834500942111276","45.777617376504985"
"","","Feature","2020","Musée des Confluences","Pont Raymond Barre","Parvis du Musée des Confluences","Lyon 2 ème","20","","Musée des Confluences","45.7333083359277900","4.8189203135366740","20","OPEN","18","1","1","Vert","true","1107","2020-12-12 18:19:10","2020-12-12 18:27:03","69382","","","","","","","","Point","4.818920313536674","45.733308335927788"
"","","Feature","3015","Servient / Garibaldi","Face 112, Rue Servient","Place Charles de Gaulle","Lyon 3 ème","15","","tram, cité administrative","45.7607774131537200","4.8526789906473330","17","OPEN","15","2","1","Vert","false","804","2020-12-12 18:24:56","2020-12-12 18:27:03","69383","","","","","","","","Point","4.852678990647333","45.760777413153718"
