lat,long
45.38746,5.7383
47.71917,-3.31874
44.3644,4.39843
48.41115,2.69746
48.81452,3.08273
44.46831,2.97888
48.44783,-4.23481
48.63352,4.95581
42.44406,1.93009
48.54812,-2.78823
48.69761,2.17609
49.49957,0.11299
48.74361,7.02873
46.28546,2.6617
47.21539,5.9798
48.43356,0.078
48.19796,-2.98683
44.98881,4.57964
44.5324,5.0632
47.62405,7.25207
43.38103,5.36046
49.62498,3.23446
49.20882,1.66897
49.29777,1.17345
44.80798,-0.576
47.58245,7.55119
47.83639,1.92066
43.72464,7.28068
43.24856,5.4278
49.86702,2.2772
43.59407,1.41439
46.64589,-0.74035
45.41078,4.39126
48.87351,2.38599
43.95602,0.37871
46.55997,4.9085
47.85687,1.91017
45.74055,4.77228
45.51885,0.79239
46.14034,1.88731
43.03579,6.13708
43.65736,4.63356
48.29531,-0.92194
46.16408,1.8695
45.80245,3.10854
48.9602,2.53859
48.84891,2.2353
49.05322,3.41283
48.58911,6.50335
48.87427,2.3805
43.27015,5.41577
44.8533,0.50233
43.59743,1.32892
45.11072,2.87309
45.1813,0.71747
41.91428,8.72865
43.66085,1.31175
43.74107,7.27802
43.72343,7.2801
50.43053,2.9437
43.24982,5.38254
48.8916,2.27938
50.60749,3.03268
48.83914,2.28852
50.68461,2.86788
44.86357,-0.57885
46.83172,0.55523
47.40408,2.92726
45.90638,5.19403
48.79845,2.50364
48.83965,2.29574
43.18898,6.04751
48.72312,2.61487
47.95082,7.28827
46.83243,5.70827
43.73768,7.42486
49.23406,2.88829
47.36,1.73095
48.92494,2.23614
44.90915,2.42686
46.43224,4.28053
43.62416,3.90839
51.03661,2.39948
44.52244,3.49075
50.10287,2.85666
46.56344,0.36893
49.06372,2.09625
45.14854,5.73161
50.36029,3.50105
47.31957,5.0692
43.65726,4.6313
49.83232,3.90279
48.82586,1.94829
46.72552,2.4972
49.07409,2.07602
44.80547,-0.5994
47.25282,-2.26638
43.73232,3.30498
49.20317,-2.04462
43.32775,-0.3527
48.36891,5.70821
43.30536,5.47397
43.32377,-0.3487
49.44896,2.07015
48.99965,2.4047
44.92649,2.43588
43.95883,3.85699
43.39286,-1.65341
43.91477,2.16351
47.46544,-1.81918
48.99839,1.67407
48.41239,2.70152
47.77404,-0.20686
43.07608,5.88197
50.27957,3.95881
49.12388,6.2433
50.3587,3.05817
46.43501,4.94409
43.26383,2.40406
47.997,2.77249
47.96425,0.22306
48.13005,-1.65797
48.8285,-1.57009
43.38384,0.04535
49.3848,2.44041
46.18677,6.22444
46.2149,1.7595
43.7031,7.25197
48.9354,2.37495
50.44791,3.42505
48.58199,7.73535
48.74074,7.03429
43.59563,3.84397
48.8464,2.2899
46.46559,-0.82757
50.6217,3.12281
46.201,5.23332
43.60854,1.40297
44.93441,4.88241
50.5398,2.63003
44.94645,-0.24624
48.84642,2.26892
47.8128,-2.38536
48.88002,2.30424
43.18109,3.00011
47.89968,1.87845
49.04597,7.42206
47.41557,2.92733
48.67609,2.413
48.83526,2.24429
49.13031,6.1379
45.7381,4.86962
48.55034,-1.50789
48.91323,2.46022
45.78593,3.11035
45.18162,5.70956
49.90227,3.63982
48.49457,7.46277
48.1832,-1.6457
46.97953,3.12259
47.48357,-0.55582
50.02849,4.01483
43.64421,3.83806
44.82446,-0.60231
49.86713,0.7062
43.47806,1.66577
45.78647,4.83866
43.17981,5.60951
43.53231,6.45316
48.89057,-0.20455
48.55685,2.64085
46.17885,1.88013
48.84105,2.25024
45.78174,4.83082
44.40565,0.67058
48.7938,2.14013
42.54826,8.76554
48.01337,6.59312
45.96706,-0.96368
49.07762,6.26977
43.40911,5.21401
44.26498,4.64367
48.84166,2.39803
44.56813,6.06911
49.39571,1.10286
49.15511,1.78447
48.99214,2.17028
42.69543,2.8639
49.09004,0.58956
48.91847,2.52308
46.71548,5.59453
48.82534,6.50692
48.95263,4.32859
43.26383,5.41308
48.57011,-3.83217
46.56426,0.36689
43.72111,7.27325
50.18717,3.2438
43.63908,3.87038
47.09724,-1.49078
47.28213,6.12388
47.68212,6.50208
45.83573,3.09419
48.62937,-3.29946
46.15339,-1.17539
49.17718,-0.37521
48.65474,2.40746
48.78983,5.13045
48.30506,-0.60497
42.71958,1.84022
46.08176,6.40653
48.82947,2.31073
46.31268,-0.45507
49.24407,4.01739
50.51484,1.64191
48.17871,6.45432
44.57638,4.28588
45.82115,4.88705
47.07822,2.37593
47.57135,7.56511
43.85536,4.38318
47.85611,3.97931
48.8761,2.187
47.18836,0.29219
48.66483,2.42185
48.8138,6.72178
49.18772,-2.11248
43.74565,7.42966
48.87124,2.29101
48.98085,2.2641
43.14673,5.89302
47.6543,-2.07992
48.6321,-2.06625
44.15498,4.61054
48.7857,2.38955
48.79047,2.26171
47.93877,1.8821
46.79605,4.78201
43.95831,2.87556
43.60186,3.91369
48.79675,2.36157
48.07443,1.35732
47.58765,0.91943
50.74609,2.74402
46.15669,-1.16968
45.39103,4.32111
48.09666,-0.77788
48.45632,-1.47857
48.83753,2.36512
46.95207,4.30169
43.61143,1.52735
47.9394,1.87862
43.15919,2.96717
49.28113,1.75902
44.55721,6.07318
45.81367,1.23981
45.30266,5.48883
48.83884,2.27405
46.17462,-1.13613
44.54467,-0.24518
47.19164,-1.5014
46.98249,1.61152
48.55772,2.6431
46.91305,-2.04233
48.85431,2.76038
48.55452,-0.42513
48.66293,2.30839
43.81614,4.3552
49.1474,1.97582
48.84779,2.27118
48.99817,7.02697
47.43788,0.6454
42.68159,9.42739
45.74964,4.8359
48.70229,6.21742
49.34901,0.81472
48.84514,2.31539
45.77784,3.07189
49.00274,1.91151
43.679,1.51446
48.12295,-1.22666
48.86416,2.54298
48.95504,2.36833
45.34085,5.06075
48.82332,2.35211
47.04181,-0.89658
48.84392,2.42651
48.71236,2.49558
43.60949,3.84983
47.61491,6.84141
47.65178,7.45946
43.40729,3.67011
45.81379,1.24035
43.40823,3.7041
43.71311,-0.24254
48.86756,2.29692
45.77452,3.06074
43.49533,2.37067
47.26361,6.02739
49.98972,4.71023
42.69585,2.86515
43.34972,-1.40006
43.12365,5.94684
50.25182,3.62717
49.74455,0.38676
45.61638,6.76399
43.61012,1.40093
44.91673,0.92742
48.90212,2.31137
45.74887,4.85411
43.70248,7.25297
48.55369,7.76521
48.4759,-2.73258
48.40994,-1.72434
45.20619,5.74839
47.9444,-1.24363
48.90791,2.24192
41.39935,9.16348
48.55083,-1.51749
48.68323,-1.86638
44.65499,4.36971
48.96738,2.8866
48.89,2.33059
48.80565,2.39601
43.21896,2.39876
47.4852,-0.58787
43.28468,5.36678
48.83171,2.12553
49.87052,2.27553
49.29046,-0.38162
45.18507,5.71362
48.6847,6.19179
50.54873,3.01839
48.7595,7.85704
48.70152,2.51117
42.43231,1.92608
49.51179,4.36212
43.47705,-1.50625
49.24995,4.01667
44.55695,4.73181
49.44094,1.10739
45.74913,4.78805
48.03095,7.5857
50.32561,2.70276
44.91405,6.62747
48.77815,2.33637
43.62803,6.92127
47.1071,6.14315
42.72747,2.84688
48.63808,-2.00767
50.71651,3.15668
49.45901,1.08176
45.73596,4.87475
44.23935,0.65807
43.67516,4.13144
48.84858,2.77229
48.82217,-3.34989
44.31239,0.0779
45.75748,4.88602
48.23121,4.71425
46.31567,4.81395
49.52661,0.18473
47.62448,4.34023
48.39597,6.97608
50.65936,3.04111
45.82844,1.28511
47.98195,-4.09968
47.23397,-0.43063
47.19157,5.40593
44.29159,4.10132
43.62001,6.93038
48.8853,2.37506
42.45805,3.16056
47.90803,7.21562
50.27804,3.95929
49.30389,1.04039
46.14672,6.07995
44.32545,3.59765
44.02307,1.35093
46.15025,3.41185
48.00431,2.73261
46.98131,3.12208
48.65794,2.27021
50.05038,1.42214
43.36203,-1.3945
42.88134,2.18418
43.64028,3.85941
48.54505,3.30335
48.52184,-3.73425
43.17975,2.99803
43.21825,0.07754
48.78635,2.29171
50.64668,3.06394
46.66829,-1.413
43.31007,5.37224
50.62009,3.0772
45.98343,5.61061
46.00053,1.46992
48.70774,2.03567
45.14084,5.83389
50.95757,1.88458
49.25073,6.04559
43.36011,1.62468
45.73241,4.79298
44.8507,0.49705
48.74894,-0.54037
48.81892,2.53907
44.886,-0.62424
49.50057,0.12307
49.10485,-1.10724
47.2346,5.96204
45.55288,3.74122
44.77684,-0.1222
49.18228,6.91285
43.10824,5.87142
49.89854,1.07672
48.82859,2.33913
50.54653,3.01827
42.71612,2.89474
50.60813,3.03363
49.15932,5.41455
48.60228,7.78964
43.92282,4.88032
43.6393,3.83144
45.03355,3.88836
49.99977,2.65447
48.8385,2.35854
45.43292,4.39133
43.59812,-1.46964
43.60162,3.82836
50.64665,3.084
48.17906,-2.75414
46.67679,5.55056
50.68091,3.19813
44.03546,1.11158
48.82064,2.42835
48.42085,1.50618
43.29612,5.56896
50.61249,3.03213
45.7496,4.79714
45.81919,4.83418
45.63673,0.20286
45.57037,5.44808
48.08307,-1.65308
47.35958,0.66651
45.81302,1.28521
45.096,3.49236
49.14495,0.23227
44.072,7.25792
49.61457,1.5337
46.89961,5.77575
48.72201,2.53213
45.7008,4.92489
49.18832,-0.34366
44.05311,2.15794
50.24814,3.95771
46.51499,-1.75139
43.59629,1.43114
49.12714,2.2361
48.8525,2.19863
48.6381,2.42551
47.34992,0.7116
44.78179,3.39176
44.79872,-0.57387
45.77051,5.00009
43.5945,1.25479
46.12828,3.42255
49.82371,0.7059
48.10609,-1.6698
48.52033,2.43224
46.2296,-0.15335
43.48546,-0.77161
47.43325,0.66769
49.12178,6.72252
45.21848,6.47148
49.78998,4.71956
48.82968,2.33883
43.34575,3.23183
48.29265,4.13577
